4.63	-79.59	-47.80
5.16	-10.21	-75.55
7.82	-21.16	-389.52
9.21	-51.81	-237.51
7.94	-42.13	-256.99
5.58	-31.50	13.28
5.23	37.63	-196.55
4.41	17.93	-221.55
3.16	5.19	-143.37
3.87	124.33	-221.13
9.00	-19.58	-558.27
14.77	-149.62	-861.49
11.44	79.27	-260.40
11.56	-5.81	-372.97
10.97	-20.75	-254.27
11.73	-102.69	-156.71
10.52	42.74	-305.85
14.20	-14.83	-576.65
17.07	44.28	-730.91
19.43	-4.01	-892.56
21.20	-54.67	-916.99
16.69	21.44	-289.59
20.07	347.38	-1000.00
18.71	9.41	-961.25
19.66	-129.15	-932.74
16.45	83.12	-525.32
24.01	-182.33	-1000.00
23.82	-169.53	-725.43
17.03	-121.81	-509.07
10.00	-207.37	-223.56
6.12	-109.87	-406.56
-13.58	8.15	1000.00
-16.70	61.88	486.83
-22.03	4.87	986.04
-29.25	38.33	1000.00
-26.32	50.78	834.63
-24.59	-242.30	1000.00
-26.08	77.70	956.59
-30.16	41.31	1000.00
-29.65	91.54	1000.00
-26.54	73.44	860.69
-24.19	38.76	608.58
-21.18	13.76	554.73
-20.70	29.45	709.13
-18.14	31.21	674.87
-16.46	22.35	630.74
-12.33	18.66	228.78
-8.85	46.91	150.69
-7.63	-29.48	86.81
-7.23	-43.47	360.01
-9.88	58.12	452.82
-8.68	104.74	233.16
-7.40	110.02	94.78
-4.28	113.19	-108.19
1.94	-7.60	8.63
4.13	-48.68	-287.70
5.91	6.62	-218.81
11.38	-24.32	-648.80
11.18	-13.81	-270.89
11.17	-0.55	-358.64
11.57	-17.91	-329.84
14.07	-34.61	-571.21
15.62	-98.97	-365.07
14.48	-55.99	-326.48
13.56	-10.91	-402.28
12.01	-97.64	-335.66
14.29	-9.92	-588.75
15.70	3.81	-641.41
12.27	-3.88	-431.28
13.05	-20.17	-599.84
11.89	38.97	-544.75
11.44	-38.61	-381.59
10.86	-64.68	-283.46
10.60	-76.14	-293.54
4.87	-29.27	-141.28
7.19	45.00	-43.10
4.28	-236.76	-85.01
-5.64	21.42	143.87
-7.22	87.59	618.75
-3.02	-307.60	1000.00
-8.11	-261.02	-517.75
-20.21	40.59	40.26
-20.93	137.36	-113.98
-40.28	109.03	1000.00
-34.31	48.31	698.82
-39.87	20.57	1000.00
-39.90	47.49	1000.00
-42.65	105.93	1000.00
-39.88	127.99	1000.00
-30.29	41.80	1000.00
-26.79	110.37	1000.00
-15.87	52.00	38.60
-10.64	119.28	88.80
-1.91	3.59	40.56
3.14	-55.02	-435.30
6.67	0.37	-308.92
14.55	-113.83	-890.80
10.40	3.63	-406.30
8.76	-99.92	-150.84
